game_date,home_team,away_team,game_url,outcome,score,competition,stadium,attendance,competition_2,score_2,match_notes
30 Jul 2022,Tranmere Rovers,Stevenage,https://www.11v11.com/matches/tranmere-rovers-v-stevenage-30-july-2022-375743/,L,1-2,League Two,Prenton Park,6111,League Two,2-1 to Stevenage,Kick-off: 3.00pm
06 Aug 2022,Mansfield Town,Tranmere Rovers,https://www.11v11.com/matches/mansfield-town-v-tranmere-rovers-06-august-2022-375753/,L,1-0,League Two,One Call Stadium,7128,League Two,1-0 to Mansfield Town,Kick-off: 3.00pm
09 Aug 2022,Accrington Stanley,Tranmere Rovers,https://www.11v11.com/matches/accrington-stanley-v-tranmere-rovers-09-august-2022-375544/,W,2-2 (11-12),League Cup,Wham Stadium,1035,League Cup 1st round,2-2 :: penalties 12-11 to Tranmere Rovers,Kick-off: 7.45pm|Tranmere Rovers won 12-11 on penalties|Extra time not played
13 Aug 2022,Tranmere Rovers,Gillingham,https://www.11v11.com/matches/tranmere-rovers-v-gillingham-13-august-2022-375767/,W,3-0,League Two,Prenton Park,5414,League Two,3-0 to Tranmere Rovers,Kick-off: 3.00pm
16 Aug 2022,Hartlepool United,Tranmere Rovers,https://www.11v11.com/matches/hartlepool-united-v-tranmere-rovers-16-august-2022-375775/,D,0-0,League Two,"Suit Direct Stadium, Hartlepool",4072,League Two,0-0,Kick-off: 7.45pm
20 Aug 2022,Newport County,Tranmere Rovers,https://www.11v11.com/matches/newport-county-v-tranmere-rovers-20-august-2022-375790/,L,2-1,League Two,Rodney Parade,4070,League Two,2-1 to Newport County,Kick-off: 3.00pm
24 Aug 2022,Tranmere Rovers,Newcastle United,https://www.11v11.com/matches/tranmere-rovers-v-newcastle-united-24-august-2022-376230/,L,1-2,League Cup,Prenton Park,10961,League Cup 2nd round,2-1 to Newcastle United,Kick-off: 7.45pm
27 Aug 2022,Tranmere Rovers,Colchester United,https://www.11v11.com/matches/tranmere-rovers-v-colchester-united-27-august-2022-375803/,W,2-0,League Two,Prenton Park,5041,League Two,2-0 to Tranmere Rovers,Kick-off: 3.00pm
03 Sep 2022,Leyton Orient,Tranmere Rovers,https://www.11v11.com/matches/leyton-orient-v-tranmere-rovers-03-september-2022-376430/,L,2-0,League Two,Brisbane Road,6578,League Two,2-0 to Leyton Orient,Kick-off: 3.00pm
13 Sep 2022,Tranmere Rovers,Bradford City,https://www.11v11.com/matches/tranmere-rovers-v-bradford-city-13-september-2022-376457/,L,1-2,League Two,Prenton Park,5864,League Two,2-1 to Bradford City,Kick-off: 7.45pm
17 Sep 2022,Salford City,Tranmere Rovers,https://www.11v11.com/matches/salford-city-v-tranmere-rovers-17-september-2022-376468/,W,0-1,League Two,"Peninsula Stadium, Salford",3175,League Two,1-0 to Tranmere Rovers,Kick-off: 3.00pm
20 Sep 2022,Tranmere Rovers,Bolton Wanderers,https://www.11v11.com/matches/tranmere-rovers-v-bolton-wanderers-20-september-2022-376520/,D,2-2,Football League Trophy,Prenton Park,,Football League Trophy Group B – North,2-2,"Kick-off: 7.00pm|Due to winning the penalty shoot-out (5-4) after 90 minutes, Tranmere Rovers were awarded a bonus point."
24 Sep 2022,Walsall,Tranmere Rovers,https://www.11v11.com/matches/walsall-v-tranmere-rovers-24-september-2022-376482/,W,0-1,League Two,Poundland Bescot Stadium,5845,League Two,1-0 to Tranmere Rovers,Kick-off: 3.00pm
01 Oct 2022,Tranmere Rovers,Barrow,https://www.11v11.com/matches/tranmere-rovers-v-barrow-01-october-2022-377146/,W,1-0,League Two,Prenton Park,6123,League Two,1-0 to Tranmere Rovers,Kick-off: 3.00pm
04 Oct 2022,Tranmere Rovers,Leeds United Academy,https://www.11v11.com/matches/tranmere-rovers-v-leeds-united-academy-04-october-2022-377230/,L,3-5,Football League Trophy,Prenton Park,,Football League Trophy Group B – North,5-3 to Leeds United Academy,Kick-off: 7.00pm
08 Oct 2022,Sutton United,Tranmere Rovers,https://www.11v11.com/matches/sutton-united-v-tranmere-rovers-08-october-2022-377161/,W,0-2,League Two,"VBS Community Stadium, Sutton",3007,League Two,2-0 to Tranmere Rovers,Kick-off: 3.00pm
14 Oct 2022,Tranmere Rovers,Crewe Alexandra,https://www.11v11.com/matches/tranmere-rovers-v-crewe-alexandra-14-october-2022-377163/,W,3-0,League Two,Prenton Park,8001,League Two,3-0 to Tranmere Rovers,Kick-off: 7.45pm
18 Oct 2022,Crewe Alexandra,Tranmere Rovers,https://www.11v11.com/matches/crewe-alexandra-v-tranmere-rovers-18-october-2022-377232/,W,0-1,Football League Trophy,Mornflake Stadium,,Football League Trophy Group B – North,1-0 to Tranmere Rovers,Kick-off: 7.00pm
22 Oct 2022,Harrogate Town,Tranmere Rovers,https://www.11v11.com/matches/harrogate-town-v-tranmere-rovers-22-october-2022-377180/,D,1-1,League Two,"EnviroVent Stadium, Harrogate",2316,League Two,1-1,Kick-off: 3.00pm
25 Oct 2022,Tranmere Rovers,Rochdale,https://www.11v11.com/matches/tranmere-rovers-v-rochdale-25-october-2022-377197/,D,1-1,League Two,Prenton Park,5742,League Two,1-1,Kick-off: 7.45pm
